Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049964	2.079002	1.989203	12.053571	14.285714	
0.049830	2.544380	2.204498	12.276786	14.285714	
0.049598	2.962808	2.554879	11.830357	14.285714	
0.049269	2.784930	2.349283	12.276786	14.285714	
0.048845	2.819379	2.541978	13.839286	14.285714	
0.048326	2.602706	2.241055	14.955357	15.625000	
0.047715	2.472544	2.499650	13.839286	15.401786	
0.047015	2.271482	3.062753	14.062500	14.508929	
0.046228	2.257265	2.775813	14.285714	14.285714	
0.045357	2.302408	2.383805	13.839286	14.508929	
0.044405	2.283462	2.073540	13.169643	16.294643	
0.043377	2.109862	2.035234	12.946429	15.848214	
0.042277	2.004742	1.986016	14.285714	15.178571	
0.041108	2.008107	2.034153	14.285714	14.508929	
0.039876	1.997530	2.019231	14.285714	14.955357	
0.038585	2.006918	2.033288	17.410714	13.169643	
0.037240	2.005559	2.004441	12.946429	11.607143	
0.035847	1.988754	1.990981	15.625000	12.500000	
0.034411	1.964506	1.980767	18.973214	12.053571	
0.032939	1.964841	1.982096	16.294643	14.508929	
0.031434	1.939122	2.007749	15.625000	14.062500	
0.029905	1.982672	1.983209	15.401786	14.062500	
0.028356	1.938120	1.987777	19.866071	13.392857	
0.026794	1.949485	1.977457	14.732143	15.625000	
0.025224	1.934638	1.978551	18.526786	13.169643	
0.023654	1.911074	1.997199	19.419643	13.839286	
0.022089	1.925028	1.987418	19.419643	14.062500	
0.020536	1.932441	1.987241	18.973214	14.732143	
0.019000	1.906402	1.979318	19.866071	12.500000	
0.017488	1.911221	1.971658	21.428571	17.187500	
0.016006	1.886981	1.997695	19.642857	15.401786	
0.014559	1.897827	1.983307	20.535714	14.062500	
0.013153	1.872817	1.996506	19.866071	14.285714	
0.011794	1.851612	2.030604	21.651786	12.500000	
0.010488	1.870972	2.113903	24.330357	12.500000	
0.009238	1.844623	2.075017	26.339286	14.732143	
0.008051	1.810567	2.039384	29.464286	15.178571	
0.006930	1.792352	2.106608	29.687500	15.848214	
0.005881	1.790154	2.136695	29.241071	16.741071	
0.004907	1.777634	2.052099	27.232143	16.517857	
0.004013	1.779111	2.140970	28.348214	15.401786	
0.003201	1.778104	2.142879	25.669643	15.401786	
0.002476	1.781920	2.146516	26.562500	15.625000	
0.001839	1.756657	2.138009	27.678571	16.294643	
0.001294	1.749663	2.156076	29.910714	15.178571	
0.000842	1.746411	2.162350	29.241071	14.508929	
0.000486	1.760866	2.182072	29.687500	15.401786	
0.000226	1.756359	2.162402	28.794643	15.625000	
0.000064	1.745476	2.144278	30.803571	14.732143	
0.000001	1.732217	2.135819	31.473214	14.285714	
