Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.004177	0.610064	1.144577	75.758094	68.620379	
0.003892	0.606206	1.198740	75.839977	68.749755	
0.003616	0.602350	1.188856	75.949754	68.698789	
0.003350	0.601003	1.210961	75.956053	68.632140	
0.003092	0.589200	1.208596	76.428456	68.581174	
0.002845	0.587446	1.245784	76.510339	68.491002	
0.002607	0.586983	1.241933	76.499541	68.961462	
0.002379	0.579007	1.241999	76.862166	68.624299	
0.002161	0.575906	1.227874	76.922454	68.622339	
0.001954	0.571779	1.231954	77.011536	69.077116	
0.001756	0.572348	1.257570	77.080821	68.971263	
0.001568	0.563058	1.269786	77.388558	68.935978	
0.001391	0.563821	1.268614	77.249087	68.914416	
0.001224	0.555066	1.290986	77.646805	68.540009	
0.001067	0.558086	1.281603	77.493836	68.951660	
0.000921	0.551179	1.296552	77.645005	68.737993	
0.000785	0.548891	1.304738	77.950942	68.841887	
0.000661	0.546689	1.325398	77.921248	68.885012	
0.000546	0.541518	1.303288	78.249681	69.016348	
0.000443	0.543416	1.314803	77.953642	68.790920	
0.000350	0.541875	1.304942	78.133604	68.739954	
0.000268	0.539021	1.332273	78.272176	68.810523	
0.000197	0.537900	1.314265	78.438642	68.765437	
0.000137	0.541377	1.324957	78.237083	68.692908	
0.000088	0.535032	1.340030	78.412547	68.647822	
0.000049	0.534563	1.334033	78.446740	68.904614	
0.000022	0.534238	1.335719	78.490831	68.841887	
0.000005	0.534801	1.352984	78.417046	68.837966	
0.000000	0.532703	1.340893	78.541221	68.836006	
