Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049997	1.876295	1.493896	31.638000	45.000000	
0.049988	1.537528	1.309504	44.808000	54.460000	
0.049972	1.359838	1.080656	51.520000	61.960000	
0.049951	1.234654	1.012066	56.006000	65.050000	
0.049923	1.148434	0.778183	59.654000	72.860000	
0.049889	1.089681	0.780251	61.730000	73.350000	
0.049849	1.037032	0.676705	63.590000	77.080000	
0.049803	1.003505	0.697226	64.840000	75.960000	
0.049751	0.967342	0.680915	66.170000	76.800000	
0.049692	0.944674	0.609674	66.956000	78.590000	
0.049628	0.921062	0.582741	67.648000	79.530000	
0.049557	0.898917	0.615777	68.588000	78.840000	
0.049481	0.884840	0.541039	69.018000	81.500000	
0.049398	0.866552	0.555140	69.684000	80.680000	
0.049309	0.848948	0.640361	70.312000	77.960000	
0.049215	0.835181	0.512972	70.762000	81.850000	
0.049114	0.820825	0.535943	71.280000	81.590000	
0.049007	0.814941	0.527773	71.438000	82.140000	
0.048895	0.801610	0.504706	72.040000	82.730000	
0.048777	0.787837	0.485640	72.460000	83.220000	
0.048652	0.782548	0.474946	72.708000	83.790000	
0.048522	0.769264	0.509188	73.034000	82.570000	
0.048386	0.758737	0.449504	73.602000	84.460000	
0.048245	0.751345	0.513050	73.866000	82.420000	
0.048097	0.738636	0.450921	74.194000	84.590000	
0.047944	0.738309	0.448631	74.214000	84.280000	
0.047785	0.725217	0.464828	74.670000	83.690000	
0.047621	0.725576	0.441080	74.604000	84.560000	
0.047451	0.712343	0.450742	75.068000	84.670000	
0.047275	0.714341	0.445152	75.042000	84.730000	
0.047094	0.701680	0.444208	75.412000	84.440000	
0.046908	0.699773	0.429796	75.416000	85.540000	
0.046716	0.694775	0.409441	75.806000	85.590000	
0.046519	0.691527	0.407764	75.870000	85.990000	
0.046316	0.691440	0.422060	75.744000	85.680000	
0.046108	0.679538	0.403092	76.246000	86.720000	
0.045895	0.674828	0.411038	76.522000	85.990000	
0.045677	0.672027	0.421939	76.826000	85.780000	
0.045454	0.657947	0.394756	76.904000	86.330000	
0.045226	0.656808	0.399310	76.878000	86.130000	
0.044992	0.652843	0.414948	77.206000	85.900000	
0.044754	0.653921	0.386294	77.130000	86.790000	
0.044511	0.652662	0.401295	77.162000	86.140000	
0.044263	0.636810	0.402355	77.816000	86.390000	
0.044010	0.638441	0.405614	77.564000	86.160000	
0.043753	0.632278	0.405235	77.824000	86.040000	
0.043491	0.634700	0.393994	77.794000	86.830000	
0.043225	0.623751	0.394699	78.206000	86.520000	
0.042954	0.621509	0.391579	78.256000	86.690000	
0.042678	0.616991	0.369089	78.394000	87.630000	
0.042398	0.614835	0.381693	78.378000	87.390000	
0.042114	0.613315	0.388223	78.632000	87.110000	
0.041826	0.607894	0.383585	78.720000	87.010000	
0.041533	0.603206	0.371156	78.874000	87.590000	
0.041237	0.604477	0.382216	78.738000	87.340000	
0.040936	0.597385	0.394888	79.044000	86.740000	
0.040631	0.592777	0.388149	79.288000	86.980000	
0.040323	0.600256	0.381779	78.770000	87.090000	
0.040011	0.586945	0.371861	79.386000	87.430000	
0.039695	0.581814	0.378487	79.624000	87.210000	
0.039376	0.584487	0.375854	79.480000	87.100000	
0.039052	0.581918	0.386865	79.624000	87.110000	
0.038726	0.576630	0.371855	79.800000	87.540000	
0.038396	0.578903	0.374343	79.778000	87.520000	
0.038063	0.569850	0.369287	79.978000	87.670000	
0.037726	0.567972	0.363033	80.108000	87.950000	
0.037387	0.563105	0.367004	80.268000	87.860000	
0.037044	0.559024	0.363108	80.416000	87.890000	
0.036699	0.562250	0.374529	80.288000	87.720000	
0.036350	0.558074	0.381620	80.368000	87.470000	
0.035999	0.550798	0.363767	80.640000	88.300000	
0.035645	0.548749	0.403578	80.718000	87.070000	
0.035288	0.548571	0.352890	80.632000	88.020000	
0.034929	0.544383	0.359676	81.072000	88.020000	
0.034568	0.534763	0.361463	81.204000	87.700000	
0.034204	0.545148	0.366533	81.010000	87.840000	
0.033837	0.534575	0.389302	81.352000	87.310000	
0.033469	0.531606	0.359818	81.386000	87.730000	
0.033098	0.527377	0.357231	81.526000	88.390000	
