Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.048780	1.854441	1.436151	32.490000	45.140000	
0.045231	1.493879	1.171157	46.338000	57.860000	
0.039703	1.336948	1.017183	52.382000	64.230000	
0.032735	1.201768	0.848348	57.202000	69.660000	
0.025010	1.106408	0.736421	60.802000	74.280000	
0.017284	1.024614	0.660859	63.810000	77.310000	
0.010313	0.958270	0.616357	66.508000	78.430000	
0.004780	0.894735	0.567316	68.664000	80.370000	
0.001227	0.851703	0.542804	70.224000	81.030000	
0.000000	0.843281	0.534947	70.638000	81.370000	
