Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049693	1.868894	1.516337	31.800000	44.870000	
0.048778	1.532895	1.177113	44.800000	57.890000	
0.047277	1.381726	1.034396	50.704000	62.840000	
0.045228	1.262270	0.900658	55.134000	68.550000	
0.042681	1.167802	0.843238	58.684000	70.620000	
0.039699	1.100489	0.727086	61.024000	74.540000	
0.036354	1.052119	0.687956	63.206000	76.380000	
0.032730	1.002149	0.641412	64.890000	77.680000	
0.028916	0.956225	0.619021	66.404000	78.660000	
0.025005	0.913807	0.575778	67.946000	80.080000	
0.021094	0.881411	0.564035	68.846000	80.280000	
0.017279	0.840920	0.519801	70.558000	82.170000	
0.013655	0.819373	0.500406	71.220000	82.570000	
0.010309	0.777822	0.494519	72.742000	83.000000	
0.007326	0.755182	0.466631	73.618000	84.100000	
0.004778	0.724354	0.443367	74.686000	84.760000	
0.002727	0.700355	0.435182	75.416000	84.980000	
0.001225	0.689226	0.429452	75.952000	85.200000	
0.000309	0.676472	0.425177	76.500000	85.230000	
0.000000	0.671427	0.429921	76.526000	85.220000	
